system:index	cropcode	cropcount	cropname	cropname_EN
0	2025	247	Aardappelen, bestrijdingsmaatregel AM	Potatoes, special crop protection measure AM
1	2014	16988	Aardappelen, consumptie	Potatoes, consumption
2	2015	8507	Aardappelen, poot NAK	Potatoes, seed, NAK
3	2016	1020	Aardappelen, poot TBM	Potatoes, seed, TBM
4	2017	7539	Aardappelen, zetmeel	Potatoes, starch
5	2706	301	Aardbeien op stellingen, productie	Strawberries
6	2704	152	Aardbeien op stellingen, vermeerdering	Strawberries
7	2705	28	Aardbeien op stellingen, wachtbed	Strawberries
8	2707	65	Aardbeien op stellingen, zaden en opkweekmateriaal	Strawberries
9	2702	512	Aardbeien open grond, productie	Strawberries
10	2700	307	Aardbeien open grond, vermeerdering	Strawberries
11	2701	99	Aardbeien open grond, wachtbed	Strawberries
12	2703	40	Aardbeien open grond, zaden en opkweekmateriaal	Strawberries
13	1949	18	Aardperen	Other
14	1045	1	Adonis	Other
15	1926	1008	Agrarisch natuurmengsel	Agricultural nature mix
16	1007	17	Amaryllis, bloembollen en -knollen	Other
17	994	2	Amaryllis, overige bloemkwekerijgewassen	Other
18	2708	107	Andijvie, productie	Endiva
19	1042	5	Angelica, productie	Other
20	1043	1	Angelica, zaden en opkweekmateriaal	Other
21	1095	226	Appelen. Aangeplant lopende seizoen.	Apples
22	1096	3233	Appelen. Aangeplant voorafgaande aan lopende seizoen.	Apples
23	2711	312	Asperges, oppervlakte die nog geen productie oplevert	Asparagus
24	2710	1761	Asperges, oppervlakte die productie oplevert	Asparagus
25	2712	93	Asperges, zaden en opkweekmateriaal	Asparagus
26	2731	4	Augurk, productie	Other
27	2732	4	Augurk, zaden en opkweekmateriaal	Other
28	1869	324	Bessen, blauwe	Berries, blue
29	2325	292	Bessen, rode	Berries, red
30	1873	78	Bessen, zwarte (opbrengst verwerkt voor verwerkende industrie)	Berries, black
31	256	17185	Bieten, suiker-	Sugarbeet
32	257	773	Bieten, voeder-	Fodder beet
33	3502	31	Bladkool	Leafy cabbage
34	3503	4	Bladraap	Other
35	3504	252	Bladrammenas	Leafy raddish
36	1015	42	Blauw druifje, bloembollen en -knollen	Flowers
37	1013	6	Blauw druifje, overige bloemkwekerijgewassen	Flowers
38	247	94	Blauwmaanzaad	Poppy seed, blue
39	2795	72	Bloemkool, winter, productie	Cauliflower
40	2796	2	Bloemkool, winter, zaden en opkweekmateriaal	Cauliflower
41	2797	547	Bloemkool, zomer, productie	Cauliflower
42	2798	7	Bloemkool, zomer, zaden en opkweekmateriaal	Cauliflower
43	174	307	Bloemzaden open grond	Flowers, seed
44	2715	82	Boerenkool, productie	Kale
45	2716	2	Boerenkool, zaden en opkweekmateriaal	Kale
46	242	334	Bonen, bruine-	Beans, brown
47	853	99	Bonen, tuin- (droog te oogsten) (geen consumptie)	Beans, broad
48	854	371	Bonen, tuin- (groen te oogsten)	Beans, broad
49	311	207	Bonen, veld- (onder andere duiven-, paarden-, wierbonen)	Beans, field
50	662	63	Bos (SBL-regeling)	Forest
51	864	51	Bos (set aside regeling)	Forest
52	863	1905	Bos zonder herplantplicht	Forest
53	1936	3988	Bos, blijvend, met herplantplicht	Forest
54	1067	1888	Bos- en haagplanten, open grond,	Forest
55	1081	281	Bos- en haagplanten, pot- en containerveld,	Forest
56	2717	79	Bospeen, productie	Carrots
57	2718	5	Bospeen, zaden en opkweekmateriaal	Carrots
58	2327	87	Bramen	Blackberries
59	654	3	Brandnetel	Other
60	2719	386	Broccoli, productie	Broccoli
61	2720	2	Brocolli, zaden en opkweekmateriaal	Broccoli
62	1068	748	Buxus, open grond,	Buxus
63	1082	44	Buxus, pot- en containerveld,	Buxes
64	2721	60	Chinese kool, productie	Cabbage, chinese
65	1041	2	Chrysant, bloembollen en -knollen	Flowers
66	1039	29	Chrysant, overige bloemkwekerijgewassen	Flowers
67	511	732	Cichorei	Cichory
68	2723	117	Courgette, productie	Courgette
69	2724	1	Courgette, zaden en opkweekmateriaal	Courgette
70	1047	20	Cranberry	Cranberry
71	997	156	Dahlia, bloembollen en - knollen	Dahlia
72	965	2	Dahlia, droogbloemen	Dahlia
73	964	53	Dahlia, overige bloemkwekerijgewassen	Dahlia
74	3505	3	Deder	Other
75	1048	12	Echinacea (zonnehoed), productie	Other
76	3506	473	Engels raaigras	Rye-grass, English
77	1069	32	Ericaceae (Zoals erica, calluna, rododendron, azalea), open grond,	Flowers
78	1083	61	Ericaceae (Zoals erica, calluna, rododendron, azalea), pot- en containerveld,	Flowers
79	308	80	Erwten (droog te oogsten)	Peas
80	244	645	Erwten, groene/gele (groen te oogsten)	Peas, green
81	801	5	Esparcette	Other
82	3507	13	Ethiopische mosterd	Other
83	3508	52	Facelia	Facelia
84	3509	2	Festulolium	Other
85	2326	163	Frambozen	Raspberries
86	3510	44	Franse boekweit	Buckwheat, French
87	428	123	Gele mosterd	Mustard, yellow
88	235	2280	Gerst, winter-	Barley, winter
89	236	6330	Gerst, zomer-	Barley, summer
90	998	314	Gladiool, bloembollen en - knollen	Flowers
91	968	2	Gladiool, droogbloemen	Flowers
92	967	56	Gladiool, overige bloemkwekerijgewassen	Flowers
93	265	369624	Grasland, blijvend	Grassland, permanent
94	336	15996	Grasland, natuurlijk. Areaal met een natuurbeheertype dat overwegend voor landbouwactiviteiten-GLB wordt gebruikt	Grassland, natural for agricultural use
95	331	17369	Grasland, natuurlijk. Hoofdfunctie landbouw.	Grassland, natural for agricultural use
96	332	5628	Grasland, natuurlijk. Hoofdfunctie natuur.	Grassland, natural for non-agricultural use
97	266	93036	Grasland, tijdelijk	Grassland, temporary
98	383	2035	Graszaad	Grass-seed
99	1921	507	Graszoden	Grassland, turf
100	238	654	Haver	Oats
101	944	409	Hennep, vezel-	Hemp, fiber
102	375	7	Hop	Hops
103	999	495	Hyacint, bloembollen en - knollen	Flowers
104	970	7	Hyacint, overige bloemkwekerijgewassen	Flowers
105	1033	4	Igniscum Candy	Oats
106	1000	90	Iris, bloembollen en -knollen	Flowers
