,class,prob1,prob2
00016725386d547e7cba,0, 98.32,  1.68
0001d05867fc13cedb78,0, 92.30,  7.70
0001e31e3f7147436523,0, 98.23,  1.77
0001b2a49541a9ac0405,0, 97.28,  2.72
000135d2e3b44f92b62c,0, 97.75,  2.25
0001a93bd4093df2e24e,0, 99.47,  0.53
000133ac5b05cbc6c7ad,0, 99.47,  0.53
00019d7eb2ad080e5e70,1,  9.19, 90.81
0001caa8adecf6e5c59a,0, 98.76,  1.24
0001772d7656b8121281,0, 98.74,  1.26
0001c9c5eafdfbf05bfe,0, 92.42,  7.58
00012ee831bd427be64f,0, 99.47,  0.53
00018102dadcec1d164b,0, 98.77,  1.23
00011abc7d00945b842b,0, 96.74,  3.26
0001312b2cbf480edd3d,0, 98.99,  1.01
0001363a129884b156f4,0, 99.51,  0.49
0001db0b970ce56a46e5,0, 97.96,  2.04
0001c6401071fc309a57,0, 99.48,  0.52
00019dbf218505891398,0, 96.38,  3.62
00015ed8b7a83c3fbe12,0, 98.87,  1.13
0001dafae0b93d654bea,0, 99.13,  0.87
00016f63b40697027a46,0, 99.26,  0.74
00015479b6e341dff966,0, 98.88,  1.12
00010c183b6117a96e31,0, 94.70,  5.30
000134112cf26b7776cd,0, 99.52,  0.48
0001b62ade3376505fd7,0, 99.45,  0.55
0001f6fd3859bc29d594,0, 98.93,  1.07
0001e0042a317513bb92,0, 99.23,  0.77
0001e788a65c7079d26c,0, 99.52,  0.48
0001244a1338facb433d,0, 99.16,  0.84
00016ead8295b4e650b5,0, 97.03,  2.97
0001715965fb4326e376,1, 18.64, 81.36
00018bcefb3fe7b05b64,0, 98.16,  1.84
0001b2a97caddc47cf34,0, 99.09,  0.91
00018d263ef084d2e77e,1,  5.88, 94.12
0001a97b8917f241a433,0, 99.37,  0.63
0001a8359daf1067f5e3,0, 99.06,  0.94
0001a3adb5e129981232,0, 97.95,  2.05
00016a8718d2590d6ab5,1,  9.75, 90.25
000116f3b63b9aa2dce4,0, 99.44,  0.56
0001ba0f46ee906e2d76,1,  2.73, 97.27
00013f3d73272b568109,0, 99.48,  0.52
0001532a8ec1fe8d82f0,0, 98.70,  1.30
00013f0acef993969785,0, 99.54,  0.46
0001e4ebd1145d5729f7,0, 98.78,  1.22
0001530e10d596306c1a,0, 93.73,  6.27
000179bc733378ed9157,0, 99.19,  0.81
0001d5c4d6d91f63742a,1, 16.11, 83.89
0001dde0cba353db2c7c,0, 99.44,  0.56
00017288cfe78474f3a8,0, 99.34,  0.66
0001f192d759631db0c9,1, 10.56, 89.44
00019d756dc9b49901ff,0, 98.04,  1.96
00011255c4e8fa0288c7,0, 98.56,  1.44
00011a43f8725586c0ce,0, 97.15,  2.85
0001d4d934ea2df4e38a,0, 99.10,  0.90
0001fcc0fcd27054bb2c,0, 99.01,  0.99
000143fcd7eddf5f4ae5,0, 98.83,  1.17
000140d1cacd911f22fd,0, 97.20,  2.80
0001c9c5492511954975,1, 23.66, 76.34
0001209042e5c399f8d9,0, 97.53,  2.47
000194dc34b4611b937f,1, 10.92, 89.08
00019bad41a451ebf221,0, 96.37,  3.63
00019bf20f14b4acbc01,0, 96.65,  3.35
0001df50badcb9781e7c,0, 99.13,  0.87
00014123335f4cc88c75,0, 98.98,  1.02
000193c0d8b39a0cf876,0, 98.91,  1.09
00013014932fff8ef49d,0, 89.28, 10.72
0001deff9b20845b5e10,0, 98.82,  1.18
0001529c6767a5fecdcf,0, 99.02,  0.98
000175df7e60f6563b1c,0, 99.19,  0.81
0001cc1c161e8232a8a1,1, 21.69, 78.31
00017bc4d45573162db4,0, 99.29,  0.71
000174908535a470f771,0, 99.25,  0.75
000124eb83c5e35c2ce7,0, 99.62,  0.38
0001a4707551756760f1,0, 99.24,  0.76
000129040ea64a2e4105,0, 74.66, 25.34
00017056975b75b76f12,0, 98.68,  1.32
000140b9e539c9fff03d,0, 98.58,  1.42
00010e71fa79f9d91144,0, 99.09,  0.91
000174867b810f312637,1,  8.34, 91.66
000158dc6d4232c8307e,1,  2.01, 97.99
0001e3201466923da12c,1,  5.03, 94.97
00010931e9b4d6ef0eba,0, 99.01,  0.99
00013dfc25cac76b2263,1, 21.89, 78.11
00017de260e15f414fc3,0, 98.70,  1.30
0001e6b59fa822d3e14b,0, 97.57,  2.43
00013fd21a2bdf2a2003,0, 99.38,  0.62
000141f0e682c120ecdb,0, 99.14,  0.86
00012bc032e9d9b29de7,1,  3.27, 96.73
0001db08fc7ec0a0c87b,1,  5.40, 94.60
00010f73e1db9b2e9562,0, 99.59,  0.41
000175616db3889e3bdf,0, 98.42,  1.58
0001de52fc1e012f85b7,1,  8.43, 91.57
0001172113572f3b891e,0, 99.18,  0.82
0001877c2df1b7930efe,0, 98.69,  1.31
00014fc76bb756aed137,0, 99.14,  0.86
000182bc34f21e20a290,0, 99.16,  0.84
0001403048f2026dc635,0, 99.08,  0.92
0001e58a6c394e77db0e,0, 98.72,  1.28
00012ae5081451b710b9,0, 99.24,  0.76
0001dd2ca1106f007032,0, 99.38,  0.62
0001df3b8626224d62f3,0, 99.72,  0.28
00019688a19acf66c358,0, 99.36,  0.64
0001748dedb7964a0498,0, 99.40,  0.60
00012f59f64b009a563a,0, 99.01,  0.99
000110021b18bb7e706b,0, 99.10,  0.90
000102a2d46e3184554a,0, 99.38,  0.62
00019d92b51004652da7,0, 98.83,  1.17
00019091048133d2cec6,0, 99.15,  0.85
000192387b44309da08f,0, 99.49,  0.51
0001f61892d7c30551f5,0, 99.60,  0.40
0001d80a7eb1ded97902,0, 99.65,  0.35
000167f7b73f03b8d3db,1,  5.47, 94.53
000107596cc41fdba15f,1,  4.81, 95.19
0001a213022e9bd2654e,0, 99.26,  0.74
0001d70b7702d14852b7,0, 99.61,  0.39
0001dd7ac4e070db45e1,0, 99.55,  0.45
0001fa7f62778b95da83,0, 99.18,  0.82
00015ca964b08e885b9b,0, 98.41,  1.59
0001105b0dc278462be2,0, 99.48,  0.52
00011eeee5c75841e415,0, 99.30,  0.70
0001614de176ecfb0609,0, 99.34,  0.66
00011efb0070a3ad5404,0, 99.47,  0.53
0001ad2b663a46d1fa6d,0, 94.41,  5.59
000131c8761c2233002f,0, 99.56,  0.44
00019ccc31bde34a0947,0, 99.48,  0.52
00017decee516af74d89,0, 99.13,  0.87
0001820343720f66720c,0, 99.47,  0.53
0001a63eb3d21774f92d,0, 95.05,  4.95
0001589264a74be32da0,0, 98.71,  1.29
0001fadd9a99df397a68,0, 99.11,  0.89
00019db704d400d79f35,0, 99.53,  0.47
000138ee0eeccb6da5cd,0, 99.60,  0.40
